en -- 1
"Email preview" : "电子邮件预览",
"Awardee has been added successfully." : "获奖者已成功添加。",
"Error while giving award." : "授予奖励的错误。",
"Save" : "节省",
"Cancel" : "取消",
"Error while getting total amount used in this award category." : "在此奖励类别中使用总金额的同时错误。",
"Error while getting email logo" : "获取电子邮件徽标的错误",


zh-TW -- 8

"Declined" : "拒絕",
"Success" : "成功",
"Pending" : "待辦的",
"Funds" : "資金",
"Funded By" : "由",
"Funded On" : "資助",
"Status" : "地位",
"Amount" : "數量",
"Notify user" : "通知用戶",
"Click on the icon to preview the email" : "單擊圖標預覽電子郵件",
"Email preview" : "電子郵件預覽",
"Awardee has been added successfully." : "獲獎者已成功添加。",
"Error while giving award." : "授予獎勵的錯誤。",
"Save" : "節省",
"Cancel" : "取消",
"Error while getting total amount used in this award category." : "在此獎勵類別中使用總金額的同時錯誤。",
"Error while getting email logo" : "獲取電子郵件徽標的錯誤",


id -- 9

"Declined" : "Ditolak",
"Success" : "Kesuksesan",
"Pending" : "Tertunda",
"Funds" : "Dana",
"Funded By" : "Didanai oleh",
"Funded On" : "Didanai",
"Status" : "Status",
"Amount" : "Jumlah",
"Notify user" : "Beri tahu pengguna",
"Click on the icon to preview the email" : "Klik ikon untuk mempratinjau email",
"Email preview" : "Pratinjau email",
"Awardee has been added successfully." : "Penerima telah ditambahkan dengan sukses.",
"Error while giving award." : "Kesalahan saat memberikan penghargaan.",
"Save" : "Menyimpan",
"Cancel" : "Membatalkan",
"Error while getting total amount used in this award category." : "Kesalahan saat mendapatkan jumlah total yang digunakan dalam kategori penghargaan ini.",
"Error while getting email logo" : "Kesalahan saat mendapatkan logo email",


it -- 10

"Declined" : "Rifiutato",
"Success" : "Successo",
"Pending" : "In attesa di",
"Funds" : "Fondi",
"Funded By" : "Fondato da",
"Funded On" : "Finanziato su",
"Status" : "Stato",
"Amount" : "Quantità",
"Notify user" : "Notificare l'utente",
"Click on the icon to preview the email" : "Fai clic sull'icona per visualizzare in anteprima l'e -mail",
"Email preview" : "Anteprima e -mail",
"Awardee has been added successfully." : "Il premio è stato aggiunto con successo.",
"Error while giving award." : "Errore durante il premio.",
"Save" : "Salva",
"Cancel" : "Annulla",
"Error while getting total amount used in this award category." : "Errore mentre ottiene l'importo totale utilizzato in questa categoria di premiazione.",
"Error while getting email logo" : "Errore mentre si ottiene il logo e -mail",


lv -- 11

"Declined" : "Samazināts",
"Success" : "Veiksme",
"Pending" : "Gaidīts",
"Funds" : "Fondi",
"Funded By" : "Finansēts pēc",
"Funded On" : "Finansēts",
"Status" : "Statuss",
"Amount" : "Summa",
"Notify user" : "Paziņot lietotājam",
"Click on the icon to preview the email" : "Noklikšķiniet uz ikonas, lai priekšskatītu e -pastu",
"Email preview" : "E -pasta priekšskatījums",
"Awardee has been added successfully." : "Balvas saņēmējs ir veiksmīgi pievienots.",
"Error while giving award." : "Kļūda, piešķirot balvu.",
"Save" : "Ietaupīt",
"Cancel" : "Atcelt",
"Error while getting total amount used in this award category." : "Kļūda, vienlaikus izmantojot kopējo summu šajā balvu kategorijā.",
"Error while getting email logo" : "Kļūda, iegūstot e -pasta logotipu",


pt -- 12

"Declined" : "Recusou",
"Success" : "Sucesso",
"Pending" : "Pendente",
"Funds" : "Fundos",
"Funded By" : "Fundado por",
"Funded On" : "Financiado em",
"Status" : "Status",
"Amount" : "Quantia",
"Notify user" : "Notifique o usuário",
"Click on the icon to preview the email" : "Clique no ícone para visualizar o email",
"Email preview" : "Visualização por e -mail",
"Awardee has been added successfully." : "O premiado foi adicionado com sucesso.",
"Error while giving award." : "Erro ao dar o prêmio.",
"Save" : "Salvar",
"Cancel" : "Cancelar",
"Error while getting total amount used in this award category." : "Erro ao obter o valor total usado nesta categoria de prêmio.",
"Error while getting email logo" : "Erro ao receber o logotipo do e -mail",


ru -- 13

"Declined" : "Отклоненный",
"Success" : "Успех",
"Pending" : "В ожидании",
"Funds" : "Средства",
"Funded By" : "Финансируется",
"Funded On" : "Финансируется на",
"Status" : "Статус",
"Amount" : "Количество",
"Notify user" : "Уведомить пользователя",
"Click on the icon to preview the email" : "Нажмите на значок, чтобы предварительно просмотреть электронную почту",
"Email preview" : "Предварительный просмотр электронной почты",
"Awardee has been added successfully." : "Приземление было успешно добавлено.",
"Error while giving award." : "Ошибка во время предоставления награды.",
"Save" : "Сохранять",
"Cancel" : "Отмена",
"Error while getting total amount used in this award category." : "Ошибка при получении общей суммы, используемой в этой категории.",
"Error while getting email logo" : "Ошибка при получении логотипа электронной почты",


